estimator,label,N,T,split,alpha,current_date,target_window_start,target_date,example,component,loss
1.6 Retained-Window Flag,sp500_full,357,357,test,0.225,2020-10-01,2019-07-03,2020-12-01,344,top_3,0.0051606885936269125
1.6 Retained-Window Flag,sp500_full,357,357,test,0.225,2020-10-01,2019-07-03,2020-12-01,344,top_6,0.014604430104176114
1.6 Retained-Window Flag,sp500_full,357,357,test,0.225,2020-10-01,2019-07-03,2020-12-01,344,flag_nested,0.006998095759481502
1.6 Retained-Window Flag,sp500_full,357,357,test,0.225,2020-10-21,2019-07-24,2020-12-21,345,market_1,0.0014654881627552685
1.6 Retained-Window Flag,sp500_full,357,357,test,0.225,2020-10-21,2019-07-24,2020-12-21,345,block_2_3,0.0070798530825391115
1.6 Retained-Window Flag,sp500_full,357,357,test,0.225,2020-10-21,2019-07-24,2020-12-21,345,block_4_6,0.050698783844578564
1.6 Retained-Window Flag,sp500_full,357,357,test,0.225,2020-10-21,2019-07-24,2020-12-21,345,top_3,0.004794200989989801
1.6 Retained-Window Flag,sp500_full,357,357,test,0.225,2020-10-21,2019-07-24,2020-12-21,345,top_6,0.02637647177940024
1.6 Retained-Window Flag,sp500_full,357,357,test,0.225,2020-10-21,2019-07-24,2020-12-21,345,flag_nested,0.010878720310715103
1.6 Retained-Window Flag,sp500_full,357,357,test,0.225,2020-11-10,2019-08-13,2021-01-12,346,market_1,0.0011806834369627595
1.6 Retained-Window Flag,sp500_full,357,357,test,0.225,2020-11-10,2019-08-13,2021-01-12,346,block_2_3,0.00646447420106
1.6 Retained-Window Flag,sp500_full,357,357,test,0.225,2020-11-10,2019-08-13,2021-01-12,346,block_4_6,0.04494028653843459
1.6 Retained-Window Flag,sp500_full,357,357,test,0.225,2020-11-10,2019-08-13,2021-01-12,346,top_3,0.004408455381703202
1.6 Retained-Window Flag,sp500_full,357,357,test,0.225,2020-11-10,2019-08-13,2021-01-12,346,top_6,0.024029042987898357
1.6 Retained-Window Flag,sp500_full,357,357,test,0.225,2020-11-10,2019-08-13,2021-01-12,346,flag_nested,0.009872727268854773
1.6 Retained-Window Flag,sp500_full,357,357,test,0.225,2020-12-01,2019-09-03,2021-02-02,347,market_1,0.001065322924281853
1.6 Retained-Window Flag,sp500_full,357,357,test,0.225,2020-12-01,2019-09-03,2021-02-02,347,block_2_3,0.006350754749396281
1.6 Retained-Window Flag,sp500_full,357,357,test,0.225,2020-12-01,2019-09-03,2021-02-02,347,block_4_6,0.0394682980945961
1.6 Retained-Window Flag,sp500_full,357,357,test,0.225,2020-12-01,2019-09-03,2021-02-02,347,top_3,0.004554373957299074
1.6 Retained-Window Flag,sp500_full,357,357,test,0.225,2020-12-01,2019-09-03,2021-02-02,347,top_6,0.021222270801499743
1.6 Retained-Window Flag,sp500_full,357,357,test,0.225,2020-12-01,2019-09-03,2021-02-02,347,flag_nested,0.00894732256102689
1.6 Retained-Window Flag,sp500_full,357,357,test,0.225,2020-12-21,2019-09-23,2021-02-23,348,market_1,0.0011500412593975495
1.6 Retained-Window Flag,sp500_full,357,357,test,0.225,2020-12-21,2019-09-23,2021-02-23,348,block_2_3,0.007731311398522123
1.6 Retained-Window Flag,sp500_full,357,357,test,0.225,2020-12-21,2019-09-23,2021-02-23,348,block_4_6,0.07772223214705958
1.6 Retained-Window Flag,sp500_full,357,357,test,0.225,2020-12-21,2019-09-23,2021-02-23,348,top_3,0.005440064377291017
1.6 Retained-Window Flag,sp500_full,357,357,test,0.225,2020-12-21,2019-09-23,2021-02-23,348,top_6,0.04084438424622849
1.6 Retained-Window Flag,sp500_full,357,357,test,0.225,2020-12-21,2019-09-23,2021-02-23,348,flag_nested,0.015811496627639022
1.6 Retained-Window Flag,sp500_full,357,357,test,0.225,2021-01-12,2019-10-11,2021-03-15,349,market_1,0.0009937188624553617
1.6 Retained-Window Flag,sp500_full,357,357,test,0.225,2021-01-12,2019-10-11,2021-03-15,349,block_2_3,0.013961337234715487
1.6 Retained-Window Flag,sp500_full,357,357,test,0.225,2021-01-12,2019-10-11,2021-03-15,349,block_4_6,0.05960181082166308
1.6 Retained-Window Flag,sp500_full,357,357,test,0.225,2021-01-12,2019-10-11,2021-03-15,349,top_3,0.009611332372650475
1.6 Retained-Window Flag,sp500_full,357,357,test,0.225,2021-01-12,2019-10-11,2021-03-15,349,top_6,0.030458911420601087
1.6 Retained-Window Flag,sp500_full,357,357,test,0.225,2021-01-12,2019-10-11,2021-03-15,349,flag_nested,0.013687987551902307
1.6 Retained-Window Flag,sp500_full,357,357,test,0.225,2021-02-02,2019-10-31,2021-04-05,350,market_1,0.0007212352181074078
1.6 Retained-Window Flag,sp500_full,357,357,test,0.225,2021-02-02,2019-10-31,2021-04-05,350,block_2_3,0.018166129546986598
1.6 Retained-Window Flag,sp500_full,357,357,test,0.225,2021-02-02,2019-10-31,2021-04-05,350,block_4_6,0.04380153687747897
1.6 Retained-Window Flag,sp500_full,357,357,test,0.225,2021-02-02,2019-10-31,2021-04-05,350,top_3,0.01225154603065152
1.6 Retained-Window Flag,sp500_full,357,357,test,0.225,2021-02-02,2019-10-31,2021-04-05,350,top_6,0.02158764549390761
1.6 Retained-Window Flag,sp500_full,357,357,test,0.225,2021-02-02,2019-10-31,2021-04-05,350,flag_nested,0.011520142247555513
1.6 Retained-Window Flag,sp500_full,357,357,test,0.225,2021-02-23,2019-11-20,2021-04-23,351,market_1,0.0008131918236492508
1.6 Retained-Window Flag,sp500_full,357,357,test,0.225,2021-02-23,2019-11-20,2021-04-23,351,block_2_3,0.016335029304993975
1.6 Retained-Window Flag,sp500_full,357,357,test,0.225,2021-02-23,2019-11-20,2021-04-23,351,block_4_6,0.050384304196223084
1.6 Retained-Window Flag,sp500_full,357,357,test,0.225,2021-02-23,2019-11-20,2021-04-23,351,top_3,0.011108635758443194
1.6 Retained-Window Flag,sp500_full,357,357,test,0.225,2021-02-23,2019-11-20,2021-04-23,351,top_6,0.024819327831537546
