,raw,raw,raw,raw,raw,raw,standardised,standardised,standardised,standardised,standardised,standardised,T,N,P,Q
,n_pairs,d_emp,d_th,excess,ratio,angle_deg,n_pairs,d_emp,d_th,excess,ratio,angle_deg,,,,
lag,,,,,,,,,,,,,,,,
410,452,0.2601199342306768,0.1178723114266508,0.142247622804026,2.2067942087700843,49.25971110779186,452,0.2350541142644523,0.15289435025018747,0.08215976401426484,1.537362982214996,38.59751358678117,132,132,3,6
415,451,0.26090030897388616,0.11790958337134766,0.1429907256025385,2.212715044138521,49.369519453776476,451,0.23538074685661736,0.15295376079561826,0.0824269860609991,1.538901336143939,38.65499766353675,132,132,3,6
420,450,0.2619778902446041,0.11794872875907363,0.14402916148553047,2.221116691980036,49.52225927240303,450,0.2356498693848045,0.15301101121900712,0.08263885816579739,1.5400843867864846,38.70049112250897,132,132,3,6
425,449,0.2626354526105233,0.1179874098585531,0.14464804275197019,2.225961676126111,49.61289772280714,449,0.23584224884429772,0.15308075304191765,0.08276149580238007,1.540639460923724,38.7267902504971,132,132,3,6
430,448,0.2628849044352005,0.11803360204293194,0.14485130239226857,2.2272039477333103,49.642602918377726,448,0.23594580053575123,0.15314137792039847,0.08280442261535276,1.540705743541068,38.73598988483747,132,132,3,6
435,447,0.26271826120474084,0.11808646739975963,0.1446317938049812,2.224795668714158,49.61052168757524,447,0.2362934924289373,0.1532195835642022,0.08307390886473509,1.542188582766415,38.79367439127626,132,132,3,6
440,446,0.2628977024652535,0.11814088775639413,0.14475681470885937,2.225289715169122,49.62879798330501,446,0.23648800377437035,0.1532973318090285,0.08319067196534186,1.5426752767554843,38.81863107047072,132,132,3,6
445,445,0.26301763575531045,0.1182076181212906,0.14481001763401985,2.2250480970307094,49.63657192001056,445,0.2369552613442865,0.15338619795646408,0.08356906338782241,1.5448277909042507,38.899355015782014,132,132,3,6
450,444,0.2636827923417516,0.11826918615267995,0.14541360618907168,2.229513882012763,49.72461805122836,444,0.2373860909186049,0.1534670456416806,0.08391904527692431,1.5468212731015947,38.973811622170096,132,132,3,6
455,443,0.2637761822049706,0.11834613034757699,0.14543005185739363,2.228853460863253,49.72701316493554,443,0.23818993340390898,0.15355791950367695,0.08463201390023203,1.551140665188587,39.12488224459546,132,132,3,6
