,raw,standardised,T,N,null_mode1
,mode1,mode1,,,
1540,10.283248008151393,4.287143580884949,250,29,1.9748602478070927
1550,10.351942228505749,4.330291641127141,250,29,1.9748602478070927
1560,10.42119422265571,4.360418509152527,250,29,1.9748602478070927
1570,10.50626337362699,4.388521433155279,250,29,1.9748602478070927
1580,10.597056577060249,4.412774624897529,250,29,1.9748602478070927
1590,10.707329440794128,4.4634084408407855,250,29,1.9748602478070927
1600,10.852596308906751,4.524032704430982,250,29,1.9748602478070927
1610,11.005064205194397,4.575043377600922,250,29,1.9748602478070927
1620,11.174339167420504,4.651107555673488,250,29,1.9748602478070927
1630,11.285405367620314,4.702834299578085,250,29,1.9748602478070927
1640,11.387120220453747,4.746009375707498,250,29,1.9748602478070927
1650,11.522028528806045,4.800151212312653,250,29,1.9748602478070927
1660,11.657990725145185,4.853215567504634,250,29,1.9748602478070927
1670,11.932938274249485,4.934314562758088,250,29,1.9748602478070927
1680,12.290035906331168,5.04828607949201,250,29,1.9748602478070927
1690,12.706669230385083,5.17580710991196,250,29,1.9748602478070927
1700,13.115418352411798,5.305705948016053,250,29,1.9748602478070927
1710,13.519353815268909,5.432039487647853,250,29,1.9748602478070927
1720,13.955893277457536,5.552446643449656,250,29,1.9748602478070927
1730,14.379555928930733,5.685285691452819,250,29,1.9748602478070927
1740,14.746468909313101,5.816878356958351,250,29,1.9748602478070927
1750,15.111629566363122,5.950797327856952,250,29,1.9748602478070927
1760,15.477022311706271,6.074416670358859,250,29,1.9748602478070927
1770,15.857844622774605,6.2050343303371065,250,29,1.9748602478070927
1780,16.3006892932495,6.3635834645021205,250,29,1.9748602478070927
1790,16.7535936825276,6.518532100503938,250,29,1.9748602478070927
1800,17.24790795388352,6.6717101590113375,250,29,1.9748602478070927
1810,17.710700544939737,6.831612485277578,250,29,1.9748602478070927
1820,18.227411720325502,7.001237529622539,250,29,1.9748602478070927
1830,18.79949172773219,7.1807728205191035,250,29,1.9748602478070927
1840,19.48865692364576,7.364755367753871,250,29,1.9748602478070927
1850,19.957388956115636,7.535806269446341,250,29,1.9748602478070927
1860,20.38110505705549,7.697399892093197,250,29,1.9748602478070927
1870,20.851803609771082,7.838646258475219,250,29,1.9748602478070927
1880,21.343792667488124,7.985558301939042,250,29,1.9748602478070927
1890,21.828938779549855,8.146421971079997,250,29,1.9748602478070927
1900,22.316753360997236,8.31221594280365,250,29,1.9748602478070927
1910,22.806076390090407,8.477017115270051,250,29,1.9748602478070927
1920,23.30039533702833,8.62850852127517,250,29,1.9748602478070927
1930,23.816136670421514,8.770599791037721,250,29,1.9748602478070927
1940,24.396248841828566,8.938271872120309,250,29,1.9748602478070927
1950,25.06440811733382,9.131391272747653,250,29,1.9748602478070927
1960,25.856795941173864,9.379217599508106,250,29,1.9748602478070927
1970,26.745217632883648,9.65260821332139,250,29,1.9748602478070927
1980,27.77360324494304,9.97720048262915,250,29,1.9748602478070927
1990,28.91484320715916,10.343841485269005,250,29,1.9748602478070927
2000,30.10527738976536,10.72301761720378,250,29,1.9748602478070927
2010,31.28985761893124,11.118904261126705,250,29,1.9748602478070927
2020,32.44231320017595,11.512926401901483,250,29,1.9748602478070927
2030,33.08990209867002,11.871490201127445,250,29,1.9748602478070927
2040,33.681993357842316,12.223296256863904,250,29,1.9748602478070927
2050,34.07407532405758,12.529762679320948,250,29,1.9748602478070927
2060,34.344991696143474,12.839817960706746,250,29,1.9748602478070927
2070,34.56485179336997,13.135872884999191,250,29,1.9748602478070927
2080,34.87467265739308,13.468284919452588,250,29,1.9748602478070927
2090,35.14085160361905,13.773789980632035,250,29,1.9748602478070927
2100,35.507341351957535,14.11398462321133,250,29,1.9748602478070927
2110,35.86058265603334,14.46275801730352,250,29,1.9748602478070927
2120,36.15429371471037,14.835013476265276,250,29,1.9748602478070927
2130,36.40973456219185,15.22268710708195,250,29,1.9748602478070927
2140,36.722581403205254,15.634754185795899,250,29,1.9748602478070927
2150,37.025117869207094,16.03860221177774,250,29,1.9748602478070927
2160,37.428883798311816,16.483651552962375,250,29,1.9748602478070927
2170,37.81501110965877,16.924701871432983,250,29,1.9748602478070927
2180,38.12462273597484,17.34048992527883,250,29,1.9748602478070927
2190,38.37798787378,17.74036799267828,250,29,1.9748602478070927
2200,38.65089745638883,18.116737437333903,250,29,1.9748602478070927
2210,38.840978674411204,18.459100777572488,250,29,1.9748602478070927
2220,38.99199249223686,18.80447132796693,250,29,1.9748602478070927
2230,39.168635345568866,19.107641359118702,250,29,1.9748602478070927
2240,39.39756914966916,19.393815550443925,250,29,1.9748602478070927
2250,39.67835300308921,19.688998040933143,250,29,1.9748602478070927
2260,39.99723966828754,20.026849050351405,250,29,1.9748602478070927
2270,40.40370985297305,20.45254128748679,250,29,1.9748602478070927
2280,41.32301395526796,20.949055773959692,250,29,1.9748602478070927
2290,42.41977689570027,21.513140799000542,250,29,1.9748602478070927
2300,43.89622186723956,22.142890788925943,250,29,1.9748602478070927
2310,45.782770931506604,22.807401069818418,250,29,1.9748602478070927
2320,47.9219555537016,23.47478632533986,250,29,1.9748602478070927
2330,49.89206225309689,24.07151230100934,250,29,1.9748602478070927
2340,51.95066658207469,24.73650140422956,250,29,1.9748602478070927
2350,54.109420823072924,25.42833907042034,250,29,1.9748602478070927
2360,56.47440818822316,26.136351563432594,250,29,1.9748602478070927
2370,59.09495820480168,26.88974538159331,250,29,1.9748602478070927
2380,62.40676608783771,27.74676879956206,250,29,1.9748602478070927
2390,65.6412006128656,28.53307576597402,250,29,1.9748602478070927
2400,68.76401018754612,29.336759060761217,250,29,1.9748602478070927
2410,71.23460967256435,30.049070452297638,250,29,1.9748602478070927
2420,73.57932528637477,30.656133530358687,250,29,1.9748602478070927
2430,75.56758035270045,31.126265281091538,250,29,1.9748602478070927
2440,77.34146478695767,31.31439031275409,250,29,1.9748602478070927
2450,79.05133453291857,31.450123636801937,250,29,1.9748602478070927
2460,81.0842811783892,31.632374959454147,250,29,1.9748602478070927
2470,83.17956418668733,31.866021537994886,250,29,1.9748602478070927
2480,84.96179575958244,31.902145326235793,250,29,1.9748602478070927
2490,86.70213516171285,31.873696879766527,250,29,1.9748602478070927
2500,88.05143648141443,31.740532089000663,250,29,1.9748602478070927
2510,89.18449326633655,31.569923284582188,250,29,1.9748602478070927
2520,89.4762075258934,31.093379960539465,250,29,1.9748602478070927
2530,88.28889500330888,30.18281002840395,250,29,1.9748602478070927
2540,87.02365389855905,29.30630826056448,250,29,1.9748602478070927
2550,84.99257745994213,28.385422262527836,250,29,1.9748602478070927
2560,83.53634166960329,28.0617032206148,250,29,1.9748602478070927
2570,80.80991521165961,26.832867515017377,250,29,1.9748602478070927
2580,81.86049859921837,27.072630702148736,250,29,1.9748602478070927
