,raw,raw,raw,standardised,standardised,standardised,T,N,null_mode1,null_mode2,null_mode3
,mode1,mode2,mode3,mode1,mode2,mode3,,,,,
1736,6842.529697214607,21.13633451190196,2.706398782117611,1934.221010631336,12.418969813770447,1.1708849887018926,357,357,142.25496942924207,2.2457679451571617,1.4539003507207018
1750,7112.844479850595,20.065739150787444,2.88978384755667,2017.2483018548623,11.115958273880665,1.2096287566612138,357,357,142.25496942924207,2.2457679451571617,1.4539003507207018
1764,7403.647059791508,18.824042565048988,3.175317407383834,2102.684098176329,9.735316868494772,1.2882000996120995,357,357,142.25496942924207,2.2457679451571617,1.4539003507207018
1778,7706.11388729481,17.570091247477208,3.3673219724012466,2191.6258153712547,8.445390577531976,1.3745943384950041,357,357,142.25496942924207,2.2457679451571617,1.4539003507207018
1792,8025.6373309466235,16.536853537965513,3.589872352509904,2282.2426823986225,7.340037361327683,1.484638702941003,357,357,142.25496942924207,2.2457679451571617,1.4539003507207018
1806,8362.498838038631,16.668574328692277,3.7963041899834904,2374.063243225328,6.467519738850761,1.6029883380999004,357,357,142.25496942924207,2.2457679451571617,1.4539003507207018
1820,8726.621099565478,17.172894880587013,3.982721244634126,2473.050255524151,5.742089143672108,1.738556306392727,357,357,142.25496942924207,2.2457679451571617,1.4539003507207018
1834,9104.804291150886,18.24652733210128,4.1614090304670786,2573.676313969236,5.305433349843644,1.8679396449265895,357,357,142.25496942924207,2.2457679451571617,1.4539003507207018
1848,9467.655994535637,18.829737490931507,4.342744502767841,2669.174686561758,4.893639269728061,2.014641982425209,357,357,142.25496942924207,2.2457679451571617,1.4539003507207018
1862,9739.555785297203,20.36159468282025,4.4961111094705615,2759.1657580155293,4.588131135248108,2.1283977666790737,357,357,142.25496942924207,2.2457679451571617,1.4539003507207018
1876,9992.442225960314,21.6774063886117,4.594871246189786,2843.8090004160804,4.425440475125605,2.227568786926499,357,357,142.25496942924207,2.2457679451571617,1.4539003507207018
1890,10171.534691203191,22.57497784161479,4.610085484880094,2921.5257666649113,4.243418052708166,2.345108424295221,357,357,142.25496942924207,2.2457679451571617,1.4539003507207018
1904,10328.674271367478,23.5202757784396,4.665970785715074,2990.544647127727,4.159050918289175,2.489060267497896,357,357,142.25496942924207,2.2457679451571617,1.4539003507207018
1918,10486.131090700092,24.789299013239894,4.795378965159089,3059.7864685441,4.128714261418463,2.5972938436943473,357,357,142.25496942924207,2.2457679451571617,1.4539003507207018
1932,10641.753465569436,25.991586826721164,4.9322038983506475,3130.045135592732,4.132988452542371,2.72732229884523,357,357,142.25496942924207,2.2457679451571617,1.4539003507207018
1946,10804.30682514899,26.986885712746542,5.084640308265265,3209.011965476788,4.257052645526321,2.8325414447294657,357,357,142.25496942924207,2.2457679451571617,1.4539003507207018
1960,10963.944481680923,28.22057556686044,5.203918908959058,3285.0824875343533,4.454140706103795,2.9281553240010587,357,357,142.25496942924207,2.2457679451571617,1.4539003507207018
1974,11089.901747129237,29.631474725938663,5.358330142348146,3347.478312278291,4.757709248034968,2.9770842277422935,357,357,142.25496942924207,2.2457679451571617,1.4539003507207018
